Household,LEDBulb,TableFan,Fridge,TV,Laptop,Printer,SewingMachine,Hotgun,SolderingIron
H01,6,1,0,0,1,1,0,0,0
H02,6,3,0,0,0,0,0,0,0
H03,1,0,0,0,0,0,0,0,0
H04,3,0,0,1,0,0,0,0,0
H05,3,0,0,0,0,0,1,0,0
H06,3,0,0,1,0,0,0,0,0
H07,1,1,1,0,0,0,0,0,0
H08,4,1,0,0,0,0,0,0,0
H09,1,1,0,0,0,0,0,0,0
H10,3,1,0,1,0,0,0,0,0
H11,2,1,0,0,1,0,0,1,1
H12,1,1,0,0,0,0,0,0,0
H13,2,1,0,0,0,0,0,0,0
H14,4,2,0,0,0,0,0,0,0
H15,2,1,0,1,0,0,0,0,0
H16,4,2,0,0,0,0,0,0,0
H17,4,1,0,0,0,0,0,0,0
H18,2,1,0,0,0,0,0,0,0
H19,2,1,0,0,0,0,0,0,0
H20,2,1,0,0,0,0,0,0,0
H21,2,1,0,0,0,0,0,0,0
H22,4,1,0,0,0,0,0,0,0
H23,4,1,0,0,0,0,0,0,0
H24,2,1,0,0,0,0,0,0,0
H25,4,1,0,0,0,0,0,0,0